pCO2	Water temp [°C]	LF 20°C [µS/cm]	P ges Ganimede [mg/l]	Sauerstoff gel. O2 [mg/l]	TOC [mg/l]	Summe Kationen [mval/l]	Summe Anionen [mval/l]	pHWert	Date	mWert (alkalinity) [mmol/l]	Na fil [mg/l]	K fil [mg/l]	Ca fil [mg/l]	Mg fil [mg/l]	Nitrat NO3 [mg/l]	Chlorid Cl [mg/l]	Sulfat SO4 [mg/l] 
8.71E+02	8.8	456	0.1	11.4	4.9	4.5	4.27	8	1.7	1.7	37	4.3	41	8.7	15.2	60	30.4
7.45E+02	5.7	519	0.06	9.1	5.4	4.71	4.6	8	2.4	1.5	49	3.8	36	8	14	82	26.9
6.95E+02	4.1	587	0.04	13.3	3.7	4.75	5.14	8.1	3.4	1.8	45	2.4	40	8.7	11.9	89	30.8
6.92E+02	3.7	482	0.06	12.5	3.5	4.6	4.57	8.1	4.2	1.8	36	3.7	42	10	14.5	66	32.5
2.91E+03	9.7	399	0.06	11.5	6.1	3.94	3.89	7.4	4.29	1.4	34.35	3.32	34.05	7.78	8.5	65	25.1
6.60E+02	15.7	526	0.11	8.5	4.7	4.82	5.06	8.3	6.24	2.4	32.76	4.24	48.98	10.08	6.3	67	32
1.03E+03	19.2	672	0.14	9.3	3.4	7.72	7.92	8.3	7.22	3.6	51	7.9	79	16.24	6.2	95	74.3
9.85E+02	17	734	0.23	10.3	4.2	7.6	7.5	8.3	8.13	3.55	50.49	7.68	75.68	17.13	7.6	81	74.1
1.14E+03	14.5	732	0.14	10.3	3.1	6.95	7.65	8.2	9.16	3.35	45.85	7.35	70.6	14.88	7.2	102	63
8.03E+02	9.8	679	0.11	10.8	3.2	6.23	6.56	8.3	10.14	3.15	43.99	7.18	61.11	12.94	5.3	83	47.2
2.06E+03	8.5	346	0.08	11.5	8.7	3.15	3.3	7.6	11.11	1.6	21.66	3.53	31.1	6.63	11.6	37	22.5
1.03E+03	6.8	586	0.08	12.3	3.3	5.37	5.65	8.1	12.9	2.6	40	5.25	52	11	11.4	75	36.4
1.69E+03	8.6	1183	0.3	9	5.2	13.08	12.42	8.2	1.7	5.4	73	15	101	54	34.2	124	143
1.31E+03	5.6	1122	0.24	6.4	5.7	11.67	11.09	8.2	2.4	4.3	76	13	86	45	30	135	120
1.10E+03	3.7	1378	0.2	12.6	4	13.59	14.26	8.4	3.4	5.9	75	12	103	59	27.8	156	169
1.35E+03	4.1	1238	0.15	11.4	3.7	13.25	13.56	8.3	4.2	5.7	60	12	106	61	37	132	170
2.54E+03	9.9	1124	0.26	10.6	5.8	11.41	11.49	8	4.29	5	56.18	10.67	90.42	50.48	29.4	121	125
1.51E+03	10.4	776	0.31	9.5	14	7.79	8.05	8.1	5.27	3.7	34	7	66	34	21.8	73	93.4
1.69E+03	15.6	1127	0.25	9.1	5.2	12.57	13.43	8.3	6.24	6.3	54.5	12.29	106.94	54.93	28.5	123	154
2.52E+03	19.3	1166	0.39	8.7	4.9	13.66	14.85	8.2	7.22	7.1	73.36	19.26	107.05	56	30.9	153	141
2.72E+03	16.7	1256	0.7	8	6.3	13.19	13.05	8.1	8.13	6.25	108.33	23.48	86.81	41.88	21.3	147	111
1.97E+03	14.9	1102	0.48	8.5	4.5	11.32	12.13	8.2	9.16	5.85	58.42	15.32	92.31	45.6	33.7	117	117
1.30E+03	9.9	1255	0.21	10.6	5.1	13.02	13.43	8.4	10.14	6.55	67.16	17.22	100.73	55.94	19.4	125	146
2.17E+03	9	1104	0.3	10.9	8.9	11.95	11.82	8.1	11.11	5.45	65.59	13.08	91.5	50.61	22.6	108	142
1.68E+03	7.1	1438	0.29	10.8	4.4	14.83	15.25	8.3	12.9	6.9	72	17	114	67	26.1	147	182
1.09E+03	8.1	794	0.14	10.2	4.1	8.73	8.4	8.3	1.7	4.4	34	7.6	85	34	27.3	65	83.1
8.28E+02	5.6	716	0.14	9.1	4.3	7.09	6.82	8.3	2.4	3.4	32	5.8	68	26	25.2	60	63.5
9.62E+02	4.4	907	0.09	16	3.1	9.14	9.68	8.4	3.4	5.1	32	5	88	39	28	77	94.2
9.37E+02	3.7	890	0.11	12.9	2.9	9.69	9.59	8.4	4.2	5	31	6.7	94	42	31.4	71	100
1.42E+03	9.8	791	0.22	11.8	4.4	8.79	8.43	8.2	4.29	4.45	30.28	6.12	83.61	38.02	26.1	68	78.8
1.24E+03	9.9	520	0.29	9.6	16	5.26	5.4	8.1	5.27	3.05	18	4.74	52	20.99	22.2	36	46.8
1.25E+03	15.2	902	0.17	9.1	3.9	9.42	9.78	8.4	6.24	5.9	25.77	6.27	98.89	38.76	22.2	64	82.3
1.47E+03	19.4	878	0.23	9.6	3.3	10.62	11.34	8.4	7.22	6.6	36	8.66	104	44	23.4	80	101
1.35E+03	16.3	993	0.37	9.6	3.9	10.79	10.99	8.4	8.13	6.3	47.06	12.57	100.25	41.23	18.4	83	98.5
1.26E+03	14.4	890	0.27	9.2	4.1	9.34	10.01	8.4	9.16	6	28.31	9.05	93.26	38.97	18.6	67	87.7
8.98E+02	9.2	922	0.13	10.9	4.2	9.39	9.88	8.5	10.14	5.75	32.56	9.47	92.06	37.95	18.1	70	89.7
1.51E+03	9.2	634	0.21	10.4	12.2	6.54	6.65	8.1	11.11	3.75	23.14	6.32	63.08	26.71	18.7	45	63.9
1.39E+03	6.8	964	0.15	11.8	2.9	10.4	10.35	8.3	12.9	5.7	33	8.19	101	45	23.1	75	104
8.51E+02	8.2	566	0.13	11.5	4.2	6.13	5.9	8.3	1.7	3.4	25	5.5	65	20	29.3	42	40.5
6.74E+02	5.9	527	0.12	11.5	4.7	5.18	5.16	8.3	2.4	2.75	24	5.4	55	15	29.6	43	34.5
6.79E+02	3.6	651	0.07	13.9	3.5	5.92	6.43	8.4	3.4	3.6	25	3.2	62	20	25.1	56	40.9
7.22E+02	4.4	631	0.06	12.7	2.8	6.61	6.52	8.4	4.2	3.8	25	4.9	70	23	25.9	49	44.1
1.72E+03	9.8	548	0.11	12.1	5.2	5.95	5.8	8	4.29	3.35	26.56	4.9	59.84	20.23	18.4	51	34.5
9.90E+02	10.6	375	0.22	9.9	13	3.76	3.74	8.1	5.27	2.4	14	3.6	41	12	14.6	22	23.5
1.16E+03	15.8	624	0.14	9.3	4.7	6.26	6.79	8.3	6.24	4.25	20.79	4.97	69.52	21.2	15.9	51	40.7
1.29E+03	19.9	613	0.17	9.5	4.1	6.92	7.43	8.3	7.22	4.5	26.16	6.4	69.46	26	15.4	59	49.1
1.14E+03	16.4	629	0.2	9.3	3.8	6.56	6.62	8.3	8.13	4.15	28	7.6	65	23	14.5	50	39.7
9.98E+02	14.8	552	0.25	8.4	3.9	5.54	6.03	8.3	9.16	3.7	22.42	6.2	55	20	14.8	48	35.5
7.77E+02	9.1	594	0.17	11.2	4.7	5.86	6.22	8.4	10.14	3.9	24.9	6.62	60.33	19.22	15.8	46	37.1
1.17E+03	8.8	404	0.24	11.8	12.4	4.3	4.41	8.1	11.11	2.9	20.11	4.93	44.21	13.03	20	22	27.3
9.42E+02	6.4	621	0.11	12.2	3.4	6.41	6.17	8.3	12.9	3.85	23	5.52	69	22	18.8	44	37.5
1.02E+03	8.5	358	0.13	12	4.5	3.73	3.62	8	1.7	2	21	4.7	37	10	21.1	28	23.7
1.00E+03	5.9	350	0.16	11.8	5.5	3.12	3.09	7.9	2.4	1.6	18	3.7	30	8.8	18.3	28	19.6
8.56E+02	5.2	462	0.11	13.7	3.7	4.05	4.35	8.1	3.4	2.2	26	3.9	38	11	18	46	27.3
6.62E+02	5	423	0.11	12.2	3.6	4.19	4.12	8.2	4.2	2.15	23	5.2	41	12	19.2	38	28.1
1.88E+03	10.5	359	0.15	11.4	5.7	3.75	3.49	7.7	4.29	1.8	22.43	4.71	34.78	10.84	13.2	37	21.1
1.89E+03	10.8	304	0.28	9.8	9.9	2.92	3.03	7.7	5.27	1.8	12.77	3.39	30.97	8.6	12.1	24	17.4
1.58E+03	17.3	460	0.2	9	4.6	4.37	4.79	8	6.24	2.8	23	5.42	45.08	11.73	12.8	42	28.9
2.27E+03	21.9	459	0.2	8.7	4.3	5.26	5.56	7.9	7.22	3	36	10	47	13	15.3	56	35.3
1.43E+03	18	490	0.21	9	4.1	4.92	4.87	8	8.13	2.5	40.28	10.44	39.44	11.09	15.3	52	31.7
1.76E+03	15.3	381	0.24	8.8	4.6	3.61	3.87	7.8	9.16	2	24.78	6.98	33	8.4	13.5	40	25.4
1.14E+03	9.9	401	0.18	9.8	5.1	3.77	3.96	8	10.14	2.2	23.78	6.28	34.93	9.89	12.4	37	24.7
1.66E+03	9.5	278	0.16	11.6	9	3.05	2.78	7.7	11.11	1.6	21.12	3.59	27.02	8.07	20.3	16	19.3
1.44E+03	6.5	451	0.14	12.2	3.8	4.37	4.3	7.9	12.9	2.3	25	6.06	41	12	16.5	42	26.5
2.15E+03	6.8	319	0.1	12.4	3.6	3.78	3.54	7.6	1.9	1.7	23.6	4.32	34.8	10.9	19.7	35	25.9
1.28E+03	4	420	0.07	12.7	3.3	4.35	4.6	7.9	3.6	2.1	28	4.46	39.01	12.82	18.1	55	31.4
1.23E+03	4.6	404	0.09	12.7	2.8	4.17	4.34	7.9	4.3	2	24.04	3.95	38.9	12.99	19.1	48	32.5
1.59E+03	11.3	376	0.11	8.1	4.5	3.93	4.25	7.8	5.2	1.9	24.61	3.9	36	11.57	13.6	55	27.8
2.26E+03	11.3	293	0.13	10.2	6.3	3.08	3.26	7.6	5.28	1.7	15.11	2.89	32.46	8.67	14.6	29	24.5
3.10E+03	23.1	597	0.19	8.2	4.2	6.61	6.68	7.8	7.24	3.2	49	10	56	17	13.6	82	45.5
1.61E+03	18.6	568	0.2	8.9	3.8	6.59	6.09	8	8.21	2.8	49.82	10.67	55.85	16.4	14.3	77	42.6
9.86E+02	15.5	460	0.2	9.2	4	4.4	4.56	8.1	9.16	2.25	29.93	6.71	38.8	11.86	12.5	53	29.6
1.58E+03	10.8	413	0.15	10.7	4.9	4.21	4.59	7.9	10.16	2.4	27.41	5.97	38.92	11.1	11.2	49	30.1
3.07E+03	8.3	276	0.09	10.4	5.3	2.86	2.96	7.4	11.13	1.5	14	3.4	28	8.9	16.9	25	23.3
3.75E+03	5.6	470	0.11	11.1	3	5.03	5.07	7.5	12.11	2.4	32	5.88	46	14	17.5	57	37.7
1.01E+03	5.4	581	0.13	10.3	3.1	6.66	6.22	8	3.18	2.05	57.8	4.98			18.4	74	86
1.12E+03	10.3	286	0.11	11.2	5.4	3.25	2.97	7.8	4.15	1.35	16.02	2.51			16.3	32	22
1.60E+03	13.9	417	0.19	9.9	4.1	4.93	4.61	7.9	5.13	2.35	24.7	4.9			12.9	50	31
1.34E+03	16.5	384	0.13		5.3	4.13	4.49	8	6.1	2.4	21	4			15.5	41	33
4.70E+03	20.6	462	0.17	8.9	4.6	4.77	5.04	7.5	7.8	2.5	26	5.24			14	57	34
3.26E+03	22.5	585	0.22	8.3	3.9	6.39	6.94	7.8	8.5	3.4	42	7.8			16.1	83	45
1.48E+03	17.7	562	0.22	9.4	3.4	6.21	6.63	8.1	9.2	3.3	43.66	8.79			14.2	79	42
7.63E+02	13.8	567	0.18	11.3	3.6	5.89	6.16	8.3	9.3	2.85	44	9.4			14.8	78	42
2.59E+03	13.6	239	0.18	11	9.1	2.75	2.96	7.5	10.28	1.5	14	4.6			13	28	22
2.05E+03	6.6	374	0.11	11.4	4.4	3.9	4.13	7.7	11.25	2.05	21	4.35			16.5	40	33
2.44E+03	4.9	472	0.11	12.5	3	4.61	5.09	7.7	12.16	2.5	30	5.77			16.6	55	37
8.88E+02	8.2	440	0.09	12.1	3.8	4.69	4.66	8.2	1.7	2.8	17	3.7	54	14	33.9	23	31.7
6.73E+02	6.5	423	0.09	12.3	4.4	4.09	4.04	8.2	2.4	2.15	18	3.5	46	11	35	27	27.3
3.32E+02	3.6	475	0.06	14.8	3	4.35	4.7	8.6	3.4	2.8	15	1.5	50	14	27.7	29	30.5
6.06E+02	3.7	500	0.06	13.2	2.2	5.18	5.18	8.4	4.2	3.2	17	3.3	59	17	29.4	29	33.3
5.05E+02	10.3	464	0.07	14.3	3.9	5.1	5.05	8.5	4.29	3.15	18.65	3.61	56.49	16.57	23.7	32	29.8
1.18E+03	10.9	331	0.13	10.4	8.2	3.3	3.46	8	5.27	2.25	10	2.7	38.87	10.26	20	15	22.4
9.81E+02	15.6	506	0.14	10	3.7	5.21	5.27	8.3	6.24	3.6	15.79	3.58	62.52	15.79	18.1	28	28.5
1.37E+03	19.7	532	0.19	9.9	3.4	6.46	6.9	8.3	7.22	4.8	23	5.4	70	22	17.8	36	38.4
9.09E+02	17.2	569	0.22	10.2	3.5	6.27	6.06	8.4	8.13	4.15	25.75	6.25	67.31	19.68	16.6	33	34.1
1.01E+03	14.4	527	0.25	10	3.7	5.19	5.63	8.3	9.16	3.75	19.3	4.99	57	16.54	16.5	33	33
7.28E+02	9	535	0.15	11.5	3.9	5.32	5.58	8.4	10.14	3.65	18.88	4.65	59.16	17.21	23.4	30	34
1.23E+03	9.1	344	0.13	14.5	8.3	3.62	3.86	7.9	11.11	1.9	13	3.53	41	11	23.6	31	34
8.24E+02	6.6	512	0.12	12.2	3.1	5.36	5.17	8.3	12.9	3.35	21	3.87	59	17	25.6	26	32.5
1.28E+03	9.1	468	0.25	12.9	4.3	4.9	4.64	8	1.7	2.5	35	7.7	43	12	23.5	42	27.7
1.18E+03	7.1	427	0.22	10.3	4.3	4.31	4.24	8	2.4	2.35	30	6	37	12	14.4	42	23
8.03E+02	5.6	519	0.19	13.4	3.8	4.72	5.07	8.2	3.4	2.6	35	7.2	40	12	19.1	55	29.5
8.01E+02	7.2	492	0.19	12.5	3.1	4.87	4.89	8.2	4.2	2.55	32	8.4	43	13	20.9	49	29.7
1.80E+03	11.6	380	0.18	11.6	4.4	3.94	3.96	7.8	4.29	2.15	24.91	5.23	35.51	11.35	15.3	40	21.1
2.11E+03	11.3	316	0.28	9.8	9.4	3.07	3.23	7.7	5.27	2	15.23	3.97	30.07	9.41	12.1	24	17.4
1.40E+03	16.7	493	0.14	7.5	4.6	4.48	4.22	8	6.24	2.5	31.59	6.47	41.6	10.27	11	38	22.9
2.02E+03	20.9	444	0.25	9.7	4.1	5.14	5.32	7.9	7.22	2.7	40	6.09	45	12	19.6	57	33.4
1.08E+03	17.3	504	0.31	9.7	3.8	4.85	5	8.1	8.13	2.4	41	11	39	10	18.8	57	33.3
9.69E+02	15.3	344	0.32	9.1	3.8	3.08	3.36	8	9.16	1.75	21.28	5.72	28.92	6.74	12.4	34	21.5
9.07E+02	10.4	442	0.2	10.8	3.3	3.98	4.17	8.1	10.14	2.2	27.87	6.74	35.99	9.51	15.5	42	26
2.02E+03	9.7	349	0.23	10.9	7.2	3.28	3.37	7.7	11.11	1.95	17.72	5.21	31.7	9.41	16.3	26	20.6
1.26E+03	8.1	515	0.34	11.2	3.7	4.86	4.92	8	12.9	2.5	34	8.29	42	12	20.5	52	30
9.69E+02	8.6	290	0.11	12.1	4.8	3	2.84	7.9	1.7	1.5	16	3.9	29	8.9	17.7	23	19.7
1.30E+03	6.4	280	0.1	11.4	4.5	2.84	2.78	7.7	2.4	1.3	20	3.2	25	7.5	15.6	31	17.2
8.86E+02	5.2	353	0.08	13.5	3.7	3.3	3.54	8	3.4	1.8	20	2.7	31	9.6	14.8	37	21.8
9.90E+02	4.7	331	0.07	12.8	3.3	3.27	3.22	7.9	4.2	1.6	18	3.9	31	10	15.5	32	22.6
2.04E+03	10.2	298	0.12	11.3	6	3.08	3.02	7.6	4.29	1.55	18.74	3.87	28.17	9	10.5	33	18
1.53E+03	11	250	0.14	10.2	7.5	2.43	2.53	7.7	5.27	1.45	11	2.9	24.81	7.5	12.4	19	16.7
1.84E+03	16.8	373	0.14	7.5	4.8	3.52	3.77	7.8	6.24	2.05	19.14	4.69	36	9.2	11	38	22.9
2.03E+03	22.5	362	0.14	8.6	4.4	4.03	4.23	7.8	7.22	2.1	29	7.9	33	11	12	47	29.6
1.38E+03	18.2	378	0.18	9.4	4.6	3.81	3.79	7.9	8.13	1.9	28.11	8.69	31.66	9.42	11.6	42	24.8
1.45E+03	14.8	315	0.18	9.4	5.3	3.28	3.26	7.8	9.16	1.65	24	5.6	28	8.3	10.3	34	23.1
1.15E+03	10	334	0.15	11	5.4	3.03	3.29	7.9	10.14	1.75	18.66	5.1	27.74	8.4	9.6	33	21.7
1.63E+03	9.1	234	0.12	11.6	8.5	2.39	2.23	7.6	11.11	1.25	13.94	3.12	22.68	6.71	16.3	14	15.5
1.13E+03	5.9	363	0.1	12	4.1	3.43	3.49	7.9	12.9	1.8	20	4.94	32	10	14.6	36	21.3
9.00E+02	7.3	160	0.06	12.4	2.9	1.56	1.54	7.6	1.7	0.7	11	1.8	14	4	11.4	15	11.1
1.41E+03	6.1	195	0.05	12.1	2.5	1.84	1.9	7.4	2.4	0.7	19	1.8	13	3.7	11.8	28	10.8
5.05E+02	5.7	271	0.1	13	2.4	2.12	2.29	7.9	3.4	0.8	18		18	5	9.4	38	13.1
5.00E+02	4.9	219	0.07	12.5	2.1	2.01	2.02	7.9	4.2	0.8	15	1.7	18	4.9	10.6	28	12.3
8.44E+02	11.2	226	0.08	12.5	2.9	2.17	2.29	7.8	4.29	1	16.93	2.03	19.21	5.02	7.9	33	11.4
1.35E+03	10.7	152	0.05	10.9	3.8	1.46	1.57	7.5	5.27	0.8	9	1.43	14	3.9	8.3	15	10.3
6.98E+02	14.6	193	0.11	9.8	3.5	1.93	1.95	7.9	6.24	1	13	1.81	19	4.4	6.7	21	12
5.39E+02	23.1	216	0.2	9.9	3.3	2.22	2.39	8.1	7.22	1.1	18	3.7	18.37	5.01	6.8	30	15.9
8.36E+02	18.2	285	0.25	10.8	3.6	2.79	2.86	8	8.13	1.45	24.16	4.93	22.93	5.55	7.1	33	17.5
3.72E+02	13.4	369	0.25	12.6	2.8	3.55	3.7	8.4	9.16	1.75	27	4.7	33	7.1	14.3	49	16.4
2.43E+02	9.8	283	0.15	12.2	3.1	2.57	2.78	8.5	10.14	1.5	17.41	2.87	25.21	5.75	8.4	31	13
1.15E+03	8.9	138.1	0.05	11.4	4.1	1.32	1.33	7.5	11.11	0.7	7.2	1.56	13	3.7	9.4	10	9.8
3.16E+02	6.4	232	0.1	13	2.7	2.14	2.07	8.2	12.9	1	16	2.29	19	4.91	8	25	11.5
6.44E+02	7.8	306	0.03	14.8	3.7	2.96	2.92	7.9	1.7	1	23	6.6	22	8.3	28.3	36	21.4
4.01E+02	5.9	365	0.03	12.7	3.4	3.21	3.17	8	2.4	0.8	28	6	23	8.3	32.3	50	21.3
2.13E+02	4	407	0.03	13.7	2.6	3.16	3.49	8.4	3.4	1.1	30	7.9	20	7.9	22.8	56	21.2
4.34E+02	5.5	342	0.02	13.1	2.1	3.13	3.19	8.1	4.2	1.1	25	8.1	21	9.4	25	43	22.6
1.06E+03	10.9	318	0.04	13	4.2	3.03	3.17	7.7	4.29	1	29.86	4.84	19.19	7.8	14.2	55	18.6
9.57E+02	11.1	255	0.06	11.4	7.4	2.3	2.47	7.7	5.27	0.9	15	2.7	20	6.9	22.2	29	18.8
7.02E+02	15.1	294	0.05	10.2	4.8	2.65	2.76	7.9	6.24	1	17	2.99	24	7.6	21.3	35	20.9
5.46E+02	22.7	325	0.07	10.5	3.5	3.74	4	8.3	7.22	1.8	34	5.1	28	8.77	14.2	45	33.6
3.52E+02	16.7	335	0.1	12.9	3.9	3.37	3.09	8.3	8.13	1.25	33.94	6.34	21.56	7.84	11.2	41	24.2
3.94E+02	14.1	350	0.07	10.2	4	3.16	3.4	8.3	9.16	1.45	27	4.6	24	8	10.9	43	26.9
8.47E+02	9.2	313	0.05	11.7	4.1	2.71	3	7.9	10.14	1.3	22.29	4.52	20.35	7.34	13.8	37	20.8
9.84E+02	8.9	275	0.04	12.2	5.2	2.5	2.57	7.7	11.11	0.95	16.34	3.49	20.69	7.98	29	25	21.5
5.05E+02	6.8	311	0.04	12.8	2.6	2.69	2.92	8	12.9	1	20	3.52	21	8.1	20.1	41	21.3
6.43E+02	7.7	316	0.08	12.3	4	3.03	2.97	7.9	1.7	1	21	4	27	7.9	29	36	23.4
5.94E+02	5.1	356	0.06	4.2	4	3.17	3.12	7.9	2.4	0.95	25	3.9	27	7.5	29.8	43	22.9
1.94E+02	4.3	349	0.06	13.6	3.2	2.9	3.17	8.4	3.4	1	25	1.8	23	7.4	22.1	49	20.8
3.12E+02	5.1	326	0.06	13.4	2.3	3.02	3.07	8.2	4.2	1	22	3.5	25	8.6	26.8	41	23.1
9.57E+02	11.1	306	0.08	11	5.6	2.89	2.98	7.7	4.29	0.9	27.26	3.23	20.82	6.94	13.6	52	18.9
1.02E+03	11.6	245	0.14	11.1	9.8	2.12	2.34	7.7	5.27	0.95	12.82	2.74	20.22	5.7	17.1	26	18.1
3.16E+02	15.4	330	0.12	10	5	2.79	2.75	8.2	6.24	0.9	19.18	3.31	25.34	7.17	16.8	41	20.5
7.63E+02	21.5	344	0.34	9.8	4.4	3.58	3.88	8.1	7.22	1.6	31	6.2	27.06	8.66	19.2	54	21.6
4.97E+02	16.7	367	0.32	10.3	4.6	3.66	3.36	8.2	8.13	1.4	34.04	6.95	26.6	7.98	13.5	48	18.8
5.14E+02	14	372	0.12	10.1	4.5	3.42	3.69	8.2	9.16	1.5	27	4.86	29	8.1	18	50	23.6
4.54E+02	9.1	330	0.08	12.3	4.3	2.88	3.08	8.2	10.14	1.4	20.82	4.55	24.97	7.31	13.9	37	19.8
8.58E+02	8.5	280	0.07	12.5	6.5	2.67	2.59	7.8	11.11	1.05	17.46	3.81	24.67	6.88	24.8	23	23.5
2.37E+02	6.2	330	0.06	12.8	2.8	10.65	3.06	8.4	12.9	1.2	20		25	7.9	20	40	19.9
1.02E+03	7.8	222	0.06	11.3	3.4	2.16	2.24	7.7	1.7	1	15	2.8	19	5.8	16.2	22	17.1
6.37E+02	5.8	240	0.06	12.1	3.3	2.22	2.22	7.8	2.4	0.8	18	3	18	5.5	16.5	30	14.6
2.14E+02	4.5	322	0.05	14	2.3	2.8	2.9	8.4	3.4	1.1	24	2.1	23	6.6	14.3	43	17.3
2.15E+02	5.3	274	0.06	13.6	2.1	2.59	2.68	8.4	4.2	1.1	19	3.2	22	6.9	15.7	34	17.6
4.63E+02	11.3	270	0.06	13.4	3.5	2.62	2.56	8.1	4.29	1.1	21.53	2.73	21.15	6.67	8.7	36	14.6
1.17E+03	11.6	217	0.07	10.8	5.4	2.13	2.27	7.7	5.27	1.1	13	2.12	20	6.1	13.3	23	14.9
9.18E+02	15.8	262	0.08	10.9	4.3	2.5	2.69	7.9	6.24	1.3	16	2.38	23	7.1	12.2	30	16.8
4.50E+02	23.9	333	0.23	10.8	3.9	3.66	3.81	8.4	7.22	1.85	29	4.7	31	8.8	10.1	46	24
1.99E+02	18.4	380	0.25	11	3.9	3.76	3.7	8.7	8.13	1.8	31.74	6.01	30.13	8.64	10.1	45	22.5
5.85E+02	14.5	339	0.17	10.3	3.9	3.24	3.47	8.2	9.16	1.7	24	3.5	29	7.9	8.8	41	22.9
5.21E+02	9.7	310	0.12	12.2	3.8	2.79	3.07	8.2	10.14	1.6	19.82	3.67	24.96	7.02	9.1	34	17.5
1.17E+03	8.6	195.5	0.06	11.6	5.4	1.77	1.89	7.6	11.11	0.9	11	2.21	16.2	5.06	15.1	16	14.1
6.50E+02	6.2	279	0.08	13.8	2.6	2.49	2.74	8	12.9	1.3	17	2.92	22	6.66	12.6	32	16.1
1.75E+03	4	401	0.2	11.9	4	4.37	4.21	7.7	1.16	1.8	28	8.8	44	8.6	15.4	39	51
1.91E+03	4.1	405	0.2	11.2	3.9	4.23	3.94	7.6	2.21	1.55	26	6.1	45	8.2	15	40	49
1.51E+03	4.5	382	0.15	9.4	3.6	4.23	4.15	7.8	3.26	1.95	23	7.1	46	9	13.5	35	48
2.80E+03	15.6	336	0.19	9.2	4.5	3.82	4.16	7.6	4.17	2	20.34	6.56	41.88	8.01	9.8	35	49
2.07E+03	14	347	0.22	7.7	4.3	3.66	3.9	7.7	5.16	1.9	20	5.96	40	7.66	11.5	31	45
2.34E+03	19.3	469	0.25	7.7	4.9	3.91	4.23	7.7	6.19	2	19	7.1	45	7.8	11.6	34	52
2.95E+03	19.6	321	0.25	8.5	4.1	3.46	3.8	7.6	7.3	2	19	6.42	38	6.8	10.5	29	39
1.66E+03	9.5	308	0.22	13.2	3.3	3.2	3.44	7.7	8.14	1.6	19	7.4	34	5.8	11.3	30	39
2.48E+03	14.1	308	0.33	9.4	3.1	3.45	3.6	7.6	9.18	1.8	22	6.8	37	5.6	13.9	30	35
2.14E+03	12.7	397	0.2	26	3.7	4.61	4.38	7.7	10.18	2	29.85	9.06	47.75	8.26	16.3	36	53
4.45E+03	10	312	0.44	12.3	4.9	3.68	3.56	7.3	11.2	1.7	22	8.05	37	7.31	15.3	30	37
3.16E+03	7.5	445	0.13	9.3	3.9	4.66	5.1	7.6	12.11	2.5	23	7.65	53	9.38	15.7	39	60
2.15E+03	4.7	410	0.18	12.8	4.3	4.68	4.56	7.7	1.16	2.2	34	10	44	8.7	12.4	42	47
1.70E+03	4.6	441	0.18	12.9	4	4.69	4.71	7.8	2.21	2.2	29	6.8	49	9.3	13.9	45	49
3.12E+03	5	385	0.15	16.6	3.1	4.3	4.16	7.5	3.26	2	26	7.4	44	9.1	14	37	43
1.83E+03	14.9	348	0.17	10.6	3.9	3.9	4.13	7.8	4.17	2.1	22.66	6.62	40.8	8.45	9.5	35	43
1.89E+03	13.3	324	0.16	12.9	5.7	3.25	3.52	7.7	5.16	1.75	17.6	5.56	34.73	7.28	9.6	30	37
1.51E+03	18.4	296	0.19	8.7	4.2	3.21	3.48	7.8	6.19	1.65	18	5.9	35	6.3	9.8	29	41
3.12E+03	18.4	299	0.18	10.6	3.7	3.03	3.34	7.5	7.3	1.7	20.15	6.4	29.65	6.08	6.8	30	33
2.01E+03	16	311	0.18	10.5	3.6	3.34	3.61	7.7	8.14	1.8	23	8.13	32	6.4	9.8	32	36
3.55E+03	14.1	285	0.2	9.2	3.1	3.32	3.49	7.5	9.18	2.05	18	6	38	5.7	8.1	25	29
1.94E+03	12.4	358	0.14	9.6	3.4	4.08	4.13	7.8	10.18	2.3	25.84	8.77	42.16	7.43	6.9	33	38
4.53E+03	9.4	355	0.42	11	5.3	3.65	3.98	7.4	11.2	2.2	22	6.82	37	6.6	9.4	32	35
6.97E+03	6.8	369	0.11	13	3.2	3.9	4.27	7.2	12.11	2.2	21	7.76	41	8.23	12.2	34	44
1.66E+03	3.4	498	0.14	10.3	3.7	5.72	5.56	7.9	1.16	2.75	30	8.6	62	13	12.6	49	59
2.01E+03	4.8	447	0.13	23.7	3.9	4.93	5.07	7.8	2.21	2.6	24	5.5	56	11	13.1	41	53
3.86E+03	4.4	476	0.13	13.4	3.6	5.42	5.08	7.5	3.26	2.5	24	6.8	62	13	14	42	56
2.52E+03	15.1	427	0.16	8.8	4.6	4.97	5.28	7.8	4.17	2.9	20.45	5.61	57.91	12.51	9.9	39	54
2.21E+03	13.3	352	0.13	10.6	3.5	3.63	3.91	7.7	5.16	2.05	16.33	4.98	41.06	8.95	9.8	31	40
1.47E+03	18.6	293	0.2	8.6	4.3	3.26	3.36	7.8	6.19	1.6	16	5.5	37	6.9	9.9	28	39
2.86E+03	18.6	266	0.15	9.2	3.5	2.79	3.03	7.5	7.3	1.55	20	5.73	25.74	5.79	7.4	26	30
2.19E+03	16	304	0.19	9	3.6	3.34	3.45	7.6	8.14	1.55	23	7.94	32	6.4	11.8	34	36
